INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
Alabama A & M University,1,16600,0.2772,0.2531554273,5726
University of Alabama at Birmingham,1,15832,0.6345,0.513963161,12118
Amridge University,2,13385,PS,0.2307692308,226
University of Alabama in Huntsville,1,13905,0.624,0.5485090298,6650
Alabama State University,1,17500,0.2884,0.2185867473,3322
The University of Alabama,1,17986,0.7322,0.6019442985,32323
Central Alabama Community College,1,5500,NA,0.2510056315,1134
Athens State University,1,14861,NA,0.5038167939,2407
Auburn University at Montgomery,1,13119,0.3576,0.4418886199,2693
Auburn University,1,17750,0.7996,0.7239612977,25732
Birmingham-Southern College,2,16000,0.644,0.7559912854,713
Chattahoochee Valley Community College,1,5900,NA,0.28125,1044
South University-Montgomery,3,13000,0.1143,0.2547585843,302
Enterprise State Community College,1,5500,NA,0.4260416667,1476
Coastal Alabama Community College,1,5500,NA,0.3489905233,4714
Faulkner University,2,15000,0.3537,0.3081623745,1555
Gadsden State Community College,1,PS,NA,NA,3619
New Beginning College of Cosmetology,3,6100,NA,0.4205607477,39
George C Wallace Community College-Dothan,1,PS,NA,NA,3053
George C Wallace State Community College-Hanceville,1,8200,NA,0.4397394137,4413
George C Wallace State Community College-Selma,1,PS,NA,NA,828
Herzing University-Birmingham,2,11756,0.2941,0.3041105434,445
Huntingdon College,2,20000,0.4851,0.5146036161,865
Heritage Christian University,2,PS,PS,PS,63
J. F. Drake State Community and Technical College,1,PS,NA,NA,719
J F Ingram State Technical College,1,PS,NA,NA,826
Jacksonville State University,1,14000,0.5172,0.4210392257,7030
Jefferson State Community College,1,4500,NA,0.4485852312,5443
John C Calhoun State Community College,1,6010,NA,0.38055344,6928
Lawson State Community College,1,PS,NA,NA,2720
University of West Alabama,1,13000,0.3823,0.3667296786,2666
Lurleen B Wallace Community College,1,PS,NA,NA,1122
Marion Military Institute,1,5500,NA,0.5924657534,308
Miles College,2,15691,0.2609,0.149776928,1151
University of Mobile,2,19000,0.5067,0.4438722966,1079
University of Montevallo,1,16000,0.5204,0.5173333333,2087
Northwest Shoals Community College,1,5500,NA,0.3611312545,1924
University of North Alabama,1,15781,0.5314,0.516271595,5468
Northeast Alabama Community College,1,4400,NA,0.4630102041,1547
Oakwood University,2,21500,0.4775,0.2837301587,1253
Reid State Technical College,1,PS,NA,NA,365
Bishop State Community College,1,PS,NA,NA,2100
Samford University,2,15750,0.788,0.7767548907,3828
Selma University,2,NA,0.24,0.1179361179,34
Shelton State Community College,1,PS,NA,NA,3191
Snead State Community College,1,6450,NA,0.3530701754,1494
University of South Alabama,1,17750,0.5006,0.4695919938,8540
